linea 46 la orden de produccion OC-8030	 con rangos 184627 y 184592 se recopilan 0 series de 36 de la orden con modelo PCGHIA-1503 27/12/2012
linea 47 la orden de produccion OC-8038	 con rangos 184734 y 184664 se recopilan 0 series de 71 de la orden con modelo PCGHIA-1575 27/12/2012
linea 48 la orden de produccion OC-8041	 con rangos 184663 y 184655 se recopilan 0 series de 9 de la orden con modelo PCGHIA-1480 27/12/2012
linea 49 la orden de produccion OC-8045	 con rangos 184740 y 184737 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1503 28/12/2012
linea 50 la orden de produccion OC-8051	 con rangos 184760 y 184741 se recopilan 0 series de 20 de la orden con modelo PCGHIA-1540 28/12/2012
linea 51 la orden de produccion OC-8052	 con rangos 184800 y 184761 se recopilan 0 series de 40 de la orden con modelo PCGHIA-1540 29/12/2012
linea 52 la orden de produccion DF-1297	 con rangos 184803 y 184802 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1536 31/12/2012
linea 53 la orden de produccion DF-1298	 con rangos 184801 y 184801 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1535 31/12/2012
linea 54 la orden de produccion OC-8026	 con rangos 184816 y 184804 se recopilan 0 series de 13 de la orden con modelo PCGHIA-1476 31/12/2012
linea 55 la orden de produccion OC-8027	 con rangos 184825 y 184817 se recopilan 0 series de 9 de la orden con modelo PCGHIA-1359 31/12/2012
linea 56 la orden de produccion OC-8028	 con rangos 184830 y 184826 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1480 31/12/2012
linea 57 la orden de produccion OC-8029	 con rangos 184833 y 184831 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1484 31/12/2012
linea 58 la orden de produccion OC-8031	 con rangos 184846 y 184834 se recopilan 0 series de 13 de la orden con modelo PCGHIA-1533 31/12/2012
linea 59 la orden de produccion DF-1292	 con rangos 184866 y 184862 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1485 02/01/2013
linea 60 la orden de produccion DF-1303	 con rangos 184970 y 184961 se recopilan 0 series de 10 de la orden con modelo PCGHIA-1575 02/01/2013
linea 61 la orden de produccion DF-1304	 con rangos 184880 y 184875 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1499 02/01/2013
linea 62 la orden de produccion DF-1305	 con rangos 184919 y 184912 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1476 02/01/2013
linea 63 la orden de produccion DF-1306	 con rangos 185007 y 185005 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1540 02/01/2013
linea 64 la orden de produccion OC-8046	 con rangos 184960 y 184949 se recopilan 0 series de 12 de la orden con modelo PCGHIA-1575 02/01/2013
linea 65 la orden de produccion OC-8047	 con rangos 184874 y 184867 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1499 02/01/2013
linea 66 la orden de produccion OC-8049	 con rangos 184861 y 184857 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1496 02/01/2013
linea 67 la orden de produccion OC-8050	 con rangos 184923 y 184920 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1476 02/01/2013
linea 68 la orden de produccion OC-8053	 con rangos 185009 y 185008 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1481 02/01/2013
linea 69 la orden de produccion OC-8056	 con rangos 184896 y 184881 se recopilan 0 series de 16 de la orden con modelo PCGHIA-1476 02/01/2013
linea 70 la orden de produccion OC-8057	 con rangos 184911 y 184897 se recopilan 0 series de 15 de la orden con modelo PCGHIA-1480 02/01/2013
linea 71 la orden de produccion OC-8058	 con rangos 184936 y 184924 se recopilan 0 series de 13 de la orden con modelo PCGHIA-1575 02/01/2013
linea 72 la orden de produccion OC-8059	 con rangos 184948 y 184937 se recopilan 0 series de 12 de la orden con modelo PCGHIA-1499 02/01/2013
linea 73 la orden de produccion OC-8060	 con rangos 185004 y 184993 se recopilan 0 series de 12 de la orden con modelo PCGHIA-1484 02/01/2013
linea 74 la orden de produccion OC-8048	 con rangos 185025 y 185019 se recopilan 0 series de 7 de la orden con modelo PCGHIA-1480 03/01/2013
linea 75 la orden de produccion OC-8055	 con rangos 185026 y 185026 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1535 03/01/2013
linea 76 la orden de produccion OC-8061	 con rangos 185037 y 185028 se recopilan 0 series de 10 de la orden con modelo PCGHIA-1540 03/01/2013
linea 77 la orden de produccion OC-8062	 con rangos 185043 y 185038 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1533 03/01/2013
linea 78 la orden de produccion OC-8063	 con rangos 185046 y 185044 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1359 03/01/2013
linea 79 la orden de produccion OC-8064	 con rangos 185049 y 185047 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1496 03/01/2013
linea 80 la orden de produccion OC-8076	 con rangos 185091 y 185065 se recopilan 0 series de 27 de la orden con modelo PCGHIA-1574 03/01/2013
linea 81 la orden de produccion DF-1307	 con rangos 185018 y 185010 se recopilan 0 series de 9 de la orden con modelo PCGHIA-1359 03/01/2013
linea 82 la orden de produccion DF-1308	 con rangos 185027 y 185027 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1537 03/01/2013
linea 83 la orden de produccion DF-1311	 con rangos 185064 y 185050 se recopilan 0 series de 15 de la orden con modelo PCGHIA-1575 03/01/2013
linea 84 la orden de produccion DF-1324	 con rangos 185092 y 185092 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1583 03/01/2013
linea 85 la orden de produccion DF-1299	 con rangos 184856 y 184847 se recopilan 0 series de 10 de la orden con modelo PCGHIA-1534 04/01/2013
linea 86 la orden de produccion DF-1312	 con rangos 185097 y 185093 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1476 04/01/2013
linea 87 la orden de produccion DF-1313	 con rangos 185129 y 185129 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 04/01/2013
linea 88 la orden de produccion DF-1317	 con rangos 185130 y 185130 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1476 04/01/2013
linea 89 la orden de produccion DF-1318	 con rangos 185111 y 185111 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1499 04/01/2013
linea 90 la orden de produccion DF-1319	 con rangos 185120 y 185120 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1575 04/01/2013
linea 91 la orden de produccion DF-1320	 con rangos 185123 y 185121 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1484 04/01/2013
linea 92 la orden de produccion DF-1322	 con rangos 185128 y 185126 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1533 04/01/2013
linea 93 la orden de produccion DF-1326	 con rangos 185143 y 185139 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1499 04/01/2013
linea 94 la orden de produccion OC-8065	 con rangos 185098 y 185098 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 04/01/2013
linea 95 la orden de produccion OC-8066	 con rangos 185100 y 185099 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1535 04/01/2013
linea 96 la orden de produccion OC-8069	 con rangos 185106 y 185101 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1476 04/01/2013
linea 97 la orden de produccion OC-8070	 con rangos 185110 y 185107 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1499 04/01/2013
linea 98 la orden de produccion OC-8071	 con rangos 185115 y 185112 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1480 04/01/2013
linea 99 la orden de produccion OC-8072	 con rangos 185119 y 185116 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1575 04/01/2013
linea 100 la orden de produccion OC-8073	 con rangos 185124 y 185124 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1484 04/01/2013
linea 101 la orden de produccion OC-8074	 con rangos 185125 y 185125 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1534 04/01/2013
linea 102 la orden de produccion OC-8078	 con rangos 185132 y 185131 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1486 04/01/2013
linea 103 la orden de produccion OC-8080	 con rangos 185135 y 185133 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1476 04/01/2013
linea 104 la orden de produccion OC-8081	 con rangos 185145 y 185144 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1499 04/01/2013
linea 105 la orden de produccion OC-8085	 con rangos 185138 y 185136 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1476 04/01/2013
linea 106 la orden de produccion OC-8086	 con rangos 185147 y 185146 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1499 04/01/2013
linea 107 la orden de produccion OC-8082	 con rangos 185149 y 185148 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1496 05/01/2013
linea 108 la orden de produccion DF-1325	 con rangos 185164 y 185163 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1575 07/01/2013
linea 109 la orden de produccion DF-1327	 con rangos 185167 y 185165 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1496 07/01/2013
linea 110 la orden de produccion DF-1329	 con rangos 185185 y 185183 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1575 07/01/2013
linea 111 la orden de produccion DF-1330	 con rangos 185187 y 185186 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1481 07/01/2013
linea 112 la orden de produccion DF-1331	 con rangos 185190 y 185188 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1503 07/01/2013
linea 113 la orden de produccion DF-1332	 con rangos 185192 y 185191 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1533 07/01/2013
linea 114 la orden de produccion DF-1333	 con rangos 185258 y 185246 se recopilan 0 series de 13 de la orden con modelo PCGHIA-1575 07/01/2013
linea 115 la orden de produccion DF-1334	 con rangos 185274 y 185270 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1499 07/01/2013
linea 116 la orden de produccion DF-1339	 con rangos 185226 y 185223 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1476 07/01/2013
linea 117 la orden de produccion OC-8079	 con rangos 185162 y 185158 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1575 07/01/2013
linea 118 la orden de produccion OC-8084	 con rangos 185157 y 185150 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1575 07/01/2013
linea 119 la orden de produccion OC-8088	 con rangos 185170 y 185168 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1533 07/01/2013
linea 120 la orden de produccion OC-8089	 con rangos 185176 y 185171 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1480 07/01/2013
linea 121 la orden de produccion OC-8090	 con rangos 185177 y 185177 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1481 07/01/2013
linea 122 la orden de produccion OC-8091	 con rangos 185178 y 185178 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 07/01/2013
linea 123 la orden de produccion OC-8092	 con rangos 185179 y 185179 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1484 07/01/2013
linea 124 la orden de produccion OC-8094	 con rangos 185193 y 185193 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1485 07/01/2013
linea 125 la orden de produccion OC-8095	 con rangos 185194 y 185194 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1484 07/01/2013
linea 126 la orden de produccion OC-8096	 con rangos 185195 y 185195 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1499 07/01/2013
linea 127 la orden de produccion OC-8098	 con rangos 185196 y 185196 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1480 07/01/2013
linea 128 la orden de produccion OC-8099	 con rangos 185182 y 185180 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1575 07/01/2013
linea 129 la orden de produccion OC-8103	 con rangos 185222 y 185197 se recopilan 0 series de 26 de la orden con modelo PCGHIA-1476 07/01/2013
linea 130 la orden de produccion OC-8104	 con rangos 185245 y 185227 se recopilan 0 series de 19 de la orden con modelo PCGHIA-1575 07/01/2013
linea 131 la orden de produccion OC-8105	 con rangos 185269 y 185259 se recopilan 0 series de 11 de la orden con modelo PCGHIA-1499 07/01/2013
linea 132 la orden de produccion OC-8102	 con rangos 185297 y 185291 se recopilan 0 series de 7 de la orden con modelo PCGHIA-1480 08/01/2013
linea 133 la orden de produccion OC-8107	 con rangos 185300 y 185299 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1484 08/01/2013
linea 134 la orden de produccion OC-8109	 con rangos 185301 y 185301 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1535 08/01/2013
linea 135 la orden de produccion DF-1336	 con rangos 185290 y 185287 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1533 08/01/2013
linea 136 la orden de produccion DF-1340	 con rangos 185298 y 185298 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1480 08/01/2013
linea 137 la orden de produccion DF-1341	 con rangos 185516 y 185467 se recopilan 0 series de 50 de la orden con modelo PCGHIA-1578 09/01/2013
linea 138 la orden de produccion DF-1343	 con rangos 185358 y 185358 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1575 09/01/2013
